Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_153,VPWR,li1,76.8200,73.4400,1.800000
FILLER_22_141,VPWR,li1,73.1400,73.4400,1.800000
FILLER_22_139,VPWR,li1,69.6900,73.4400,1.800000
FILLER_22_137,VPWR,li1,69.0000,73.4400,1.800000
FILLER_22_125,VPWR,li1,65.7800,73.4400,1.800000
FILLER_22_113,VPWR,li1,60.2600,73.4400,1.800000
FILLER_22_111,VPWR,li1,56.8100,73.4400,1.800000
FILLER_22_107,VPWR,li1,55.6600,73.4400,1.800000
FILLER_22_97,VPWR,li1,50.6000,73.4400,1.800000
FILLER_22_93,VPWR,li1,49.2200,73.4400,1.800000
FILLER_22_85,VPWR,li1,45.5400,73.4400,1.800000
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.800000
FILLER_22_81,VPWR,li1,43.2400,73.4400,1.800000
FILLER_22_69,VPWR,li1,40.0200,73.4400,1.800000
FILLER_22_57,VPWR,li1,34.5000,73.4400,1.800000
FILLER_22_55,VPWR,li1,31.0500,73.4400,1.800000
FILLER_22_47,VPWR,li1,28.9800,73.4400,1.800000
FILLER_22_37,VPWR,li1,23.0000,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_21_145,VPWR,li1,74.9800,68.0000,1.799999
FILLER_21_133,VPWR,li1,69.4600,68.0000,1.799999
FILLER_21_121,VPWR,li1,63.9400,68.0000,1.799999
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.799999
FILLER_21_109,VPWR,li1,56.1200,68.0000,1.799999
FILLER_21_90,VPWR,li1,47.3800,68.0000,1.799999
FILLER_21_81,VPWR,li1,43.0100,68.0000,1.799999
FILLER_21_77,VPWR,li1,41.8600,68.0000,1.799999
FILLER_21_65,VPWR,li1,38.1800,68.0000,1.799999
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799999
FILLER_21_51,VPWR,li1,29.9000,68.0000,1.799999
FILLER_21_39,VPWR,li1,24.3800,68.0000,1.800000
FILLER_21_29,VPWR,li1,19.0900,68.0000,1.800000
FILLER_21_25,VPWR,li1,17.9400,68.0000,1.800000
FILLER_21_15,VPWR,li1,12.6500,68.0000,1.800000
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.800000
FILLER_20_153,VPWR,li1,76.8200,68.0000,1.799999
FILLER_20_141,VPWR,li1,73.1400,68.0000,1.799999
FILLER_20_139,VPWR,li1,69.6900,68.0000,1.799999
FILLER_20_137,VPWR,li1,69.0000,68.0000,1.799999
FILLER_20_133,VPWR,li1,67.6200,68.0000,1.799999
FILLER_20_121,VPWR,li1,63.9400,68.0000,1.799999
FILLER_20_94,VPWR,li1,48.9900,68.0000,1.799999
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.799999
FILLER_20_33,VPWR,li1,21.1600,68.0000,1.800000
FILLER_20_29,VPWR,li1,19.7800,68.0000,1.800000
FILLER_20_6,VPWR,li1,8.7400,68.0000,1.800000
FILLER_19_156,VPWR,li1,77.5100,62.5600,1.799999
FILLER_19_152,VPWR,li1,76.3600,62.5600,1.799999
FILLER_19_140,VPWR,li1,72.6800,62.5600,1.799999
FILLER_19_128,VPWR,li1,67.1600,62.5600,1.799999
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.799999
FILLER_19_109,VPWR,li1,56.1200,62.5600,1.799999
FILLER_19_96,VPWR,li1,50.6000,62.5600,1.799999
FILLER_19_59,VPWR,li1,32.8900,62.5600,1.799999
FILLER_19_57,VPWR,li1,32.2000,62.5600,1.799999
FILLER_19_46,VPWR,li1,26.9100,62.5600,1.800000
FILLER_19_44,VPWR,li1,26.2200,62.5600,1.800000
FILLER_18_153,VPWR,li1,76.8200,62.5600,1.799999
FILLER_18_141,VPWR,li1,73.1400,62.5600,1.799999
FILLER_18_138,VPWR,li1,69.4600,62.5600,1.799999
FILLER_18_126,VPWR,li1,66.2400,62.5600,1.799999
FILLER_18_29,VPWR,li1,19.0900,62.5600,1.800000
FILLER_18_3,VPWR,li1,7.1300,62.5600,1.800000
FILLER_17_156,VPWR,li1,77.5100,57.1200,1.799999
FILLER_17_154,VPWR,li1,76.8200,57.1200,1.799999
FILLER_17_142,VPWR,li1,73.6000,57.1200,1.799999
FILLER_17_113,VPWR,li1,58.4200,57.1200,1.799999
FILLER_17_91,VPWR,li1,47.6100,57.1200,1.799999
FILLER_17_87,VPWR,li1,46.4600,57.1200,1.799999
FILLER_17_78,VPWR,li1,41.6300,57.1200,1.799999
FILLER_17_57,VPWR,li1,34.5000,57.1200,1.799999
FILLER_17_54,VPWR,li1,30.8200,57.1200,1.799999
FILLER_17_46,VPWR,li1,28.5200,57.1200,1.799999
FILLER_17_11,VPWR,li1,10.8100,57.1200,1.800000
FILLER_17_3,VPWR,li1,8.7400,57.1200,1.800000
FILLER_16_153,VPWR,li1,76.8200,57.1200,1.799999
FILLER_16_141,VPWR,li1,73.1400,57.1200,1.799999
FILLER_16_136,VPWR,li1,69.0000,57.1200,1.799999
FILLER_16_115,VPWR,li1,58.6500,57.1200,1.799999
FILLER_16_106,VPWR,li1,54.5100,57.1200,1.799999
FILLER_16_96,VPWR,li1,49.9100,57.1200,1.799999
FILLER_16_92,VPWR,li1,48.7600,57.1200,1.799999
FILLER_16_85,VPWR,li1,44.8500,57.1200,1.799999
FILLER_16_65,VPWR,li1,38.1800,57.1200,1.799999
FILLER_16_54,VPWR,li1,31.2800,57.1200,1.799999
FILLER_16_40,VPWR,li1,24.1500,57.1200,1.800000
FILLER_16_31,VPWR,li1,20.0100,57.1200,1.800000
FILLER_16_29,VPWR,li1,19.3200,57.1200,1.800000
FILLER_16_26,VPWR,li1,17.9400,57.1200,1.800000
FILLER_16_15,VPWR,li1,13.3400,57.1200,1.800000
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.800000
FILLER_15_155,VPWR,li1,77.2800,51.6800,1.799998
FILLER_15_147,VPWR,li1,74.9800,51.6800,1.799998
FILLER_15_135,VPWR,li1,70.3800,51.6800,1.799998
FILLER_15_121,VPWR,li1,61.4100,51.6800,1.799998
FILLER_15_88,VPWR,li1,46.9200,51.6800,1.799998
FILLER_15_72,VPWR,li1,38.8700,51.6800,1.799999
FILLER_15_70,VPWR,li1,38.1800,51.6800,1.799999
FILLER_15_61,VPWR,li1,33.8100,51.6800,1.799999
FILLER_15_57,VPWR,li1,32.6600,51.6800,1.799999
FILLER_15_55,VPWR,li1,31.0500,51.6800,1.799999
FILLER_15_51,VPWR,li1,29.9000,51.6800,1.799999
FILLER_15_41,VPWR,li1,24.8400,51.6800,1.799999
FILLER_15_25,VPWR,li1,17.2500,51.6800,1.799999
FILLER_15_23,VPWR,li1,16.5600,51.6800,1.799999
FILLER_15_15,VPWR,li1,14.2600,51.6800,1.799999
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.799999
FILLER_14_153,VPWR,li1,76.8200,51.6800,1.799998
FILLER_14_141,VPWR,li1,73.1400,51.6800,1.799998
FILLER_14_138,VPWR,li1,69.4600,51.6800,1.799998
FILLER_14_56,VPWR,li1,31.7400,51.6800,1.799999
FILLER_14_52,VPWR,li1,30.3600,51.6800,1.799999
FILLER_14_31,VPWR,li1,20.0100,51.6800,1.799999
FILLER_14_29,VPWR,li1,19.3200,51.6800,1.799999
FILLER_14_24,VPWR,li1,17.4800,51.6800,1.799999
FILLER_14_3,VPWR,li1,7.1300,51.6800,1.799999
FILLER_13_155,VPWR,li1,77.2800,46.2400,1.799999
FILLER_13_147,VPWR,li1,74.9800,46.2400,1.799999
FILLER_13_94,VPWR,li1,48.9900,46.2400,1.799999
FILLER_13_72,VPWR,li1,39.1000,46.2400,1.799999
FILLER_13_28,VPWR,li1,18.6300,46.2400,1.800000
FILLER_13_3,VPWR,li1,8.7400,46.2400,1.800000
FILLER_12_153,VPWR,li1,76.8200,46.2400,1.799999
FILLER_12_141,VPWR,li1,73.1400,46.2400,1.799999
FILLER_12_132,VPWR,li1,68.0800,46.2400,1.799999
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799999
FILLER_12_81,VPWR,li1,43.2400,46.2400,1.799999
FILLER_12_73,VPWR,li1,40.9400,46.2400,1.799999
FILLER_12_26,VPWR,li1,17.9400,46.2400,1.800000
FILLER_12_17,VPWR,li1,13.8000,46.2400,1.800000
FILLER_12_7,VPWR,li1,9.2000,46.2400,1.800000
FILLER_12_3,VPWR,li1,7.8200,46.2400,1.800000
FILLER_11_145,VPWR,li1,74.9800,40.8000,1.799999
FILLER_11_133,VPWR,li1,69.4600,40.8000,1.799999
FILLER_11_121,VPWR,li1,63.9400,40.8000,1.799999
FILLER_11_111,VPWR,li1,56.8100,40.8000,1.799999
FILLER_11_92,VPWR,li1,48.3000,40.8000,1.799999
FILLER_11_80,VPWR,li1,45.0800,40.8000,1.799999
FILLER_11_59,VPWR,li1,32.8900,40.8000,1.799999
FILLER_11_57,VPWR,li1,32.2000,40.8000,1.799999
FILLER_11_3,VPWR,li1,7.1300,40.8000,1.799999
FILLER_10_153,VPWR,li1,76.8200,40.8000,1.799999
FILLER_10_141,VPWR,li1,73.1400,40.8000,1.799999
FILLER_10_139,VPWR,li1,69.6900,40.8000,1.799999
FILLER_10_137,VPWR,li1,69.0000,40.8000,1.799999
FILLER_10_133,VPWR,li1,67.6200,40.8000,1.799999
FILLER_10_121,VPWR,li1,63.9400,40.8000,1.799999
FILLER_10_109,VPWR,li1,58.4200,40.8000,1.799999
FILLER_10_97,VPWR,li1,52.9000,40.8000,1.799999
FILLER_10_85,VPWR,li1,47.3800,40.8000,1.799999
FILLER_10_56,VPWR,li1,31.5100,40.8000,1.799999
FILLER_10_40,VPWR,li1,24.1500,40.8000,1.799999
FILLER_10_36,VPWR,li1,23.0000,40.8000,1.799999
FILLER_10_27,VPWR,li1,18.1700,40.8000,1.800000
FILLER_10_23,VPWR,li1,16.3300,40.8000,1.799999
FILLER_10_9,VPWR,li1,9.8900,40.8000,1.799999
FILLER_10_7,VPWR,li1,9.2000,40.8000,1.799999
FILLER_9_149,VPWR,li1,75.9000,35.3600,1.799999
FILLER_9_137,VPWR,li1,71.3000,35.3600,1.799999
FILLER_9_125,VPWR,li1,65.7800,35.3600,1.799999
FILLER_9_113,VPWR,li1,60.2600,35.3600,1.799999
FILLER_9_104,VPWR,li1,55.2000,35.3600,1.799999
FILLER_9_100,VPWR,li1,51.7500,35.3600,1.799999
FILLER_9_98,VPWR,li1,51.0600,35.3600,1.799999
FILLER_9_94,VPWR,li1,49.6800,35.3600,1.799999
FILLER_9_82,VPWR,li1,46.0000,35.3600,1.799999
FILLER_9_57,VPWR,li1,31.9700,35.3600,1.799999
FILLER_9_38,VPWR,li1,23.2300,35.3600,1.800000
FILLER_9_29,VPWR,li1,19.0900,35.3600,1.800000
FILLER_9_3,VPWR,li1,7.1300,35.3600,1.800000
FILLER_8_153,VPWR,li1,76.8200,35.3600,1.799999
FILLER_8_141,VPWR,li1,73.1400,35.3600,1.799999
FILLER_8_138,VPWR,li1,69.4600,35.3600,1.799999
FILLER_8_134,VPWR,li1,68.0800,35.3600,1.799999
FILLER_8_126,VPWR,li1,63.7100,35.3600,1.799999
FILLER_8_118,VPWR,li1,61.6400,35.3600,1.799999
